name,zone,lower,upper
uztwm_TLMO3-1,TLMO3-1,1,400
uzfwm_TLMO3-1,TLMO3-1,1,400
lztwm_TLMO3-1,TLMO3-1,1,500
lzfpm_TLMO3-1,TLMO3-1,1,1200
lzfsm_TLMO3-1,TLMO3-1,1,1000
adimp_TLMO3-1,TLMO3-1,0,0.4
uzk_TLMO3-1,TLMO3-1,0.1,0.7
lzpk_TLMO3-1,TLMO3-1,1e-05,0.025
lzsk_TLMO3-1,TLMO3-1,0.001,0.3
zperc_TLMO3-1,TLMO3-1,1,250
rexp_TLMO3-1,TLMO3-1,0,6
pctim_TLMO3-1,TLMO3-1,0,0.2
pfree_TLMO3-1,TLMO3-1,0,1
riva_TLMO3-1,TLMO3-1,0,1
rserv_TLMO3-1,TLMO3-1,0,1
init_uztwc_TLMO3-1,TLMO3-1,0,1000
init_uzfwc_TLMO3-1,TLMO3-1,0,1000
init_lztwc_TLMO3-1,TLMO3-1,0,1000
init_lzfsc_TLMO3-1,TLMO3-1,0,1000
init_lzfpc_TLMO3-1,TLMO3-1,0,1000
init_adimc_TLMO3-1,TLMO3-1,0,1000
scf_TLMO3-1,TLMO3-1,0.7,2
mfmax_TLMO3-1,TLMO3-1,0.5,3
mfmin_TLMO3-1,TLMO3-1,0.01,0.49
uadj_TLMO3-1,TLMO3-1,0.01,0.4
si_TLMO3-1,TLMO3-1,1,3500
adc_a_TLMO3-1,TLMO3-1,0,1
adc_b_TLMO3-1,TLMO3-1,0.05,10
adc_c_TLMO3-1,TLMO3-1,0.05,10
unit_shape_TLMO3-1,TLMO3-1,1,3
unit_scale_TLMO3-1,TLMO3-1,0.1,4
